id,text,agency,author,url,date
1,"Избежать ""фискального обрыва"": Сенат США поддержал повышение налогов.",РБК,,http://top.rbc.ru/economics/01/01/2013/839229.shtml,2013-01-01
2,"""Фискальный обрыв"" в США временно предотвращен.",РБК,,http://top.rbc.ru/economics/01/01/2013/839223.shtml,2013-01-01
3,Чечня попросила националистов составить кодекс поведения кавказцев.,РБК,,http://top.rbc.ru/society/01/01/2013/839242.shtml,2013-01-01
4,Северокорейский лидер впервые за 19 лет поздравил граждан с Новым годом.,РБК,,http://top.rbc.ru/society/01/01/2013/839227.shtml,2013-01-01
5,В Кот-Д`Ивуаре десятки человек погибли в давке на новогоднем салюте.,РБК,,http://top.rbc.ru/incidents/01/01/2013/839240.shtml,2013-01-01
6,Мужчина из Подмосковья случайно убил жену в Новый год.,РБК,,http://top.rbc.ru/incidents/01/01/2013/839231.shtml,2013-01-01
7,В Подмосковье произошел пожар на железной дороге.,РБК,,http://top.rbc.ru/incidents/01/01/2013/839226.shtml,2013-01-01
8,Число убитых в ходе конфликта в Сирии превысило 60 тысяч.,РБК,,http://top.rbc.ru/politics/02/01/2013/839275.shtml,2013-01-02
9,"Конгресс США утвердил план по предотвращению ""фискального обрыва"".",РБК,,http://top.rbc.ru/economics/02/01/2013/839256.shtml,2013-01-02
10,Новые комиксы о пророке Мухаммеде появились во Франции.,РБК,,http://top.rbc.ru/society/02/01/2013/839271.shtml,2013-01-02
11,В новогоднюю ночь во Франции сожгли больше тысячи машин.,РБК,,http://top.rbc.ru/society/02/01/2013/839249.shtml,2013-01-02
12,В Анголе в давке во время церковной службы погибли 10 человек.,РБК,,http://top.rbc.ru/incidents/02/01/2013/839257.shtml,2013-01-02
13,"Сенат США единогласно осудил ""закон Димы Яковлева"".",РБК,,http://top.rbc.ru/politics/03/01/2013/839288.shtml,2013-01-03
14,В Ватикане перестали принимать платежи банковскими картами.,РБК,,http://top.rbc.ru/economics/03/01/2013/839341.shtml,2013-01-03
15,В США скончалась звезда эстрады 1950-х Патти Пейдж.,РБК,,http://top.rbc.ru/society/03/01/2013/839286.shtml,2013-01-03
16,"Пошел на посадку: ""АэроСвит"" начал процедуру банкротства.",РБК,,http://top.rbc.ru/economics/04/01/2013/839383.shtml,2013-01-04
17,Старейший банк Швейцарии закрывается из-за американских клиентов.,РБК,,http://top.rbc.ru/economics/04/01/2013/839361.shtml,2013-01-04
18,Марокканские бедуины нашли в Сахаре уникальный марсианский метеорит.,РБК,,http://top.rbc.ru/society/04/01/2013/839392.shtml,2013-01-04
19,"США получат $1,4 млрд за аварию на нефтяной платформе в Мексиканском заливе.",РБК,,http://top.rbc.ru/society/04/01/2013/839348.shtml,2013-01-04
20,Взрыв на заправочной станции в Дамаске унес жизни 11 человек.,РБК,,http://top.rbc.ru/incidents/04/01/2013/839349.shtml,2013-01-04
