pair_id,id_1,id_2,text_1,text_2,jaccard,class
1,201,8159,Полицейским разрешат стрелять на поражение по гражданам с травматикой.,Полиции могут разрешить стрелять по хулиганам с травматикой.,0.65,0
2,202,8158,Право полицейских на проникновение в жилище решили ограничить.,Правила внесудебного проникновения полицейских в жилище уточнят.,0.5,0
3,273,8167,Президент Египта ввел чрезвычайное положение в мятежных городах.,Власти Египта угрожают ввести в стране чрезвычайное положение.,0.611429,0
4,220,8160,Вернувшихся из Сирии россиян волнует вопрос трудоустройства на родине.,Самолеты МЧС вывезут россиян из разрушенной Сирии.,0.324037,-1
5,223,8160,В Москву из Сирии вернулись 2 самолета МЧС с россиянами на борту.,Самолеты МЧС вывезут россиян из разрушенной Сирии.,0.606218,0
6,154,8153,Приставы соберут отпечатки пальцев российских должников.,Приставы снимут отпечатки пальцев у злостных неплательщиков.,0.5,1
7,288,8170,На саратовского дебошира с борта самолета Москва - Хургада заведено дело.,Саратовский дебошир отказывается возвращаться домой из Египта.,0.316228,-1
8,237,8163,ЦИК хочет отказаться от электронной системы подсчета голосов.,ЦИК может отказаться от электронных средств подсчета голосов.,0.75,0
9,192,8156,Суд Петербурга оставил на потом дело о гибели подростка в полиции.,"Лондонский Гайд-парк - это не место для митингов, а прежде всего парк.",0.008591,-1
10,127,8149,Страны ОПЕК сократили добычу нефти на 1 млн баррелей в день.,Обама продлил полномочия НАСА по сотрудничеству с Россией.,0.0,-1
11,246,8165,Москвичи смогут забронировать в Интернете место на кладбище.,В Москве можно будет забронировать место на кладбище через интернет.,0.666667,1
12,312,8173,Въезд в центр Москвы автомобилям с двигателями Евро-2 не запрещали.,Сборная России пробилась в плей-офф чемпионата мира по хоккею с мячом.,0.0,-1
13,7,4111,В Подмосковье произошел пожар на железной дороге.,В Подмосковье загорелись цистерны с бензином.,0.245967,0
14,4,4112,Северокорейский лидер впервые за 19 лет поздравил граждан с Новым годом.,Лидер КНДР впервые за 19 лет поздравил сограждан с Новым годом.,0.728571,1
15,6,4113,Мужчина из Подмосковья случайно убил жену в Новый год.,Житель Подмосковья случайно убил жену на новогоднем застолье.,0.516667,1
16,1,4114,"Избежать ""фискального обрыва"": Сенат США поддержал повышение налогов.","Сенат США не допустит ""фискального обрыва"".",0.648267,0
17,2,4114,"""Фискальный обрыв"" в США временно предотвращен.","Сенат США не допустит ""фискального обрыва"".",0.576906,0
18,122,4222,Житель Украины расстрелял посетителей кафе.,На Украине мужчина через окно расстрелял посетителей кафе.,0.748554,1
19,5,4115,В Кот-Д`Ивуаре десятки человек погибли в давке на новогоднем салюте.,В давке у стадиона в Кот-д’Ивуаре погибли 60 человек.,0.5125,0
20,188,4296,В Абхазии отомстили за Деда Хасана.,В Абхазии убили врага Деда Хасана.,0.715542,0
21,3,4116,Чечня попросила националистов составить кодекс поведения кавказцев.,Националисты помогут Чечне составить кодекс поведения кавказцев.,0.871429,0
22,11,4117,В новогоднюю ночь во Франции сожгли больше тысячи машин.,В новогоднюю ночь во Франции сожгли 1193 автомобиля.,0.667362,1
23,12,4118,В Анголе в давке во время церковной службы погибли 10 человек.,В ходе давки на церковной службе в Анголе погибли 10 человек.,0.9,1
24,183,4297,Morgan Stanley взял на работу бывшего зампреда Банка России.,Бывший глава ФСФР нашел работу в Morgan Stanley.,0.4957,1
25,9,4119,"Конгресс США утвердил план по предотвращению ""фискального обрыва"".","Палата представителей утвердила план предотвращения ""фискального обрыва"".",0.740659,1
26,116,4223,Счетная палата проверит Газпром на непрофильные активы.,"Счетная палата проверит ""Газпром"" впервые за пять лет.",0.683333,0
27,10,4120,Новые комиксы о пророке Мухаммеде появились во Франции.,Во Франции издали комикс по мотивам жизни пророка Мухаммада.,0.591667,1
28,8,4121,Число убитых в ходе конфликта в Сирии превысило 60 тысяч.,В ходе сирийского конфликта погибли 60 тысяч человек.,0.547886,0
29,15,4122,В США скончалась звезда эстрады 1950-х Патти Пейдж.,Скончалась американская певица Патти Пейдж.,0.523996,1
30,13,4123,"Сенат США единогласно осудил ""закон Димы Яковлева"".",Сенат США единогласно осудил запрет на усыновление.,0.56598,1
31,241,4360,Госдума еще на шаг приблизила антитабачный закон.,Госдума приняла антитабачный законопроект во втором чтении.,0.430353,0
32,242,4360,ЛДПР: 80% жителей России поддерживают антитабачный закон.,Госдума приняла антитабачный законопроект во втором чтении.,0.154303,-1
34,186,4299,"СК выяснит, был ли подкуп свидетеля по делу Ю.Буданова.",СК проверит информацию о подкупе свидетеля по делу об убийстве Буданова.,0.632644,1
35,182,4300,ЕБРР повысил прогноз роста экономики РФ в 2013г.,ЕБРР повысил прогноз по росту экономики России.,0.786947,0
36,14,4124,В Ватикане перестали принимать платежи банковскими картами.,ЦБ Италии запретил платежи банковскими картами в Ватикане.,0.632644,1
37,117,4224,В Германии начался процесс по делу российских шпионов - супругов Аншлаг.,В Германии начался процесс над российскими шпионами.,0.834841,1
38,190,4302,Глава управы района Северное Медведково задержан за взятку.,Главу управы Северное Медведково поймали на взятке.,0.745065,1
39,118,4225,"""Болотное дело"": в СКР на допрос ждут блогера Митю Алешковского.","Митю Алешковского вызвали на допрос по ""болотному делу"".",0.67117,1
40,19,4125,"США получат $1,4 млрд за аварию на нефтяной платформе в Мексиканском заливе.","Владелец платформы Deepwater Horizon оштрафован на 1,4 миллиарда долларов.",0.501996,1
41,21,4126,Корреспондента российского телеканала ранили в пригороде Дамаска.,В Сирии ранили корреспондента российского телеканала.,0.730297,1
42,20,4127,Взрыв на заправочной станции в Дамаске унес жизни 11 человек.,При взрыве на автозаправке в Дамаске погибли 11 человек.,0.606218,1
43,180,4303,В Эритрее произошла попытка государственного переворота.,В Эритрее произошла попытка военного переворота.,0.82,1
44,17,4128,Старейший банк Швейцарии закрывается из-за американских клиентов.,Старейший банк Швейцарии закрылся из-за иска властей США.,0.529775,0
45,115,4226,"Экономический ущерб от ""арабской весны"" составит $225 млрд.","Оценку убытков от ""арабской весны"" повысили до 225 миллиардов долларов.",0.628064,1
46,18,4129,Марокканские бедуины нашли в Сахаре уникальный марсианский метеорит.,В Сахаре обнаружен рекордно влажный марсианский метеорит.,0.57701,0
47,16,4130,"Пошел на посадку: ""АэроСвит"" начал процедуру банкротства.","Украинский суд начал процедуру банкротства компании ""Аэросвит"".",0.509201,1
48,258,4361,В египетский Суэц из-за беспорядков введены правительственные войска.,В египетский Суэц ввели войска.,0.836909,0
49,119,4227,РЖД подало иск о взыскании 2 млн рублей с Apple.,РЖД через суд потребовали с Apple 2 миллиона рублей.,0.648074,1
50,261,4362,Умер ветеран правозащитного движения В.Абрамкин.,Умер ветеран правозащитного движения Валерий Абрамкин.,0.931128,1
51,260,4363,В Египте приговорили к смерти участников погрома на стадионе в Порт-Саиде.,В Египте вынесен смертный приговор за погром на стадионе.,0.634046,1
52,257,4364,В египетский Порт-Саид вводят войска из-за разбушевавшихся фанатов.,Египетская армия блокировала Порт-Саид.,0.612372,0
53,259,4365,В Подмосковье накрыли сходку криминальных авторитетов.,На сходке криминальных авторитетов в Подмосковье задержаны 23 человека.,0.723452,1
54,262,4366,Пожар в новостройке на юго-западе Москвы: 10 погибших.,В пожаре на юго-западе Москвы погибли 9 человек.,0.683333,0
55,256,4367,Первый Patriot в Турции приведен в боевую готовность.,Первая батарея Patriot заступила на боевое дежурство в Турции.,0.56598,1
56,109,4228,Работа Генконсульства РФ в сирийском Алеппо временно приостановлена.,РФ приостановила деятельность консульства в Алеппо.,0.485928,1
57,265,4368,СМИ: Власти просят жителей Крымска вернуть часть компенсаций.,От жителей Крымска потребовали вернуть часть материальной помощи.,0.547886,1
58,268,4369,В главном здании МГУ загорелась столовая.,Из главного здания МГУ эвакуированы около 300 человек.,0.56598,-1
59,121,4229,Пропавший на Эльбрусе альпинист найден мертвым на высоте 5 км.,На Эльбрусе нашли мертвым пропавшего московского альпиниста.,0.736122,1
60,266,4370,В правительстве вновь высказались за муниципальный фильтр на выборах.,Правительство выступило против отмены муниципального фильтра для парламентских партий.,0.540899,-1
61,185,4304,РФ отправила за российскими гражданами в Сирию два самолета.,МЧС отправляет два самолета для вывоза россиян из Сирии.,0.547619,1
62,267,4371,При пожаре в ночном клубе в Бразилии погибли 245 человек.,При пожаре в бразильском ночном клубе погибли 90 человек.,0.871429,0
63,269,4371,При пожаре в ночном клубе в Бразилии погибли более 200 человек.,При пожаре в бразильском ночном клубе погибли 90 человек.,0.871429,0
64,264,4372,"Главный ""барометр"" США отдает ""Оскар"" фильму ""Операция ""Арго"".",Гильдия продюсеров США назвала «Операцию „Арго“» фильмом года.,0.525,0
65,190,4305,Глава управы района Северное Медведково задержан за взятку.,Пойманного на взятке главу управы Северное Медведково уволили.,0.689796,-1
66,263,4373,Премьер Эфиопии возглавил Африканский союз.,Премьер-министр Эфиопии возглавил Африканский союз.,0.885333,1
67,26,4131,Во Флориде самолет упал на дом: 3 погибших.,Самолет упал на жилой дом во Флориде.,0.730297,0
68,27,4132,"Пожар в Покровской больнице: двое погибли, 50 — эвакуированы.",Два человека погибли при пожаре в больнице в Санкт-Петербурге.,0.555492,0
